Year Published;Min Players;Max Players;Play Time;Min Age;Owned Users;Mechanics;Domains
2017;1;4;120;13;38254;Action Retrieval, Area Majority / Influence, Campaign / Battle Card Driven, Cooperative Game, Events, Hand Management, Modular Board, Set Collection, Simultaneous Action Selection, Solo / Solitaire Game, Variable Player Powers;Strategy Games
2016;1;5;115;14;75640;Area Majority / Influence, Card Play Conflict Resolution, Force Commitment, Grid Movement, Hexagon Grid, King of the Hill, Movement Points, Moving Multiple Units, Narrative Choice / Paragraph, Solo / Solitaire Game, Tech Trees / Tech Tracks, Variable Player Powers;Strategy Games
2011;2;4;90;12;63058;Dice Rolling, Grid Coverage, Hexagon Grid, Set Collection, Tile Placement, Turn Order: Stat-Based, Worker Placement with Dice Workers;Strategy Games
2012;2;5;150;12;42720;End Game Bonuses, Hexagon Grid, Income, Increase Value of Unchosen Resources, Network and Route Building, Tech Trees / Tech Tracks, Turn Order: Pass Order, Variable Player Powers, Variable Set-up, Victory Points as a Resource;Strategy Games
2015;2;2;30;10;94343;Card Drafting, Drafting, Set Collection, Sudden Death Ending, Tug of War;Strategy Games
2013;2;5;100;13;32014;Action Retrieval, Advantage Token, Auction: Dutch, Card Drafting, Deck Bag and Pool Building, Hand Management, Movement Points, Point to Point Movement, Set Collection, Variable Set-up;Strategy Games
2007;2;4;120;14;25429;Hand Management, Income, Loans, Network and Route Building;Strategy Games
2019;1;5;70;10;61775;Card Drafting, Dice Rolling, Drafting, End Game Bonuses, Hand Management, Set Collection, Solo / Solitaire Game;Family Games, Strategy Games
2016;1;4;120;12;22794;Automatic Resource Growth, Dice Rolling, Grid Coverage, Income, Pattern Building, Push Your Luck, Solo / Solitaire Game, Tile Placement, Turn Order: Pass Order, Worker Placement;Strategy Games
2016;1;2;120;14;50883;Action Points, Cooperative Game, Deck Construction, Hand Management, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers;Customizable Games, Thematic Games
2015;1;6;90;13;39747;Contracts, Hand Management, Solo / Solitaire Game, Turn Order: Auction, Victory Points as a Resource, Worker Placement, Worker Placement, Different Worker Types;Strategy Games
2018;1;5;180;12;17574;Campaign / Battle Card Driven, Cooperative Game, Dice Rolling, Hidden Roles, Modular Board, Player Elimination, Semi-Cooperative Game, Solo / Solitaire Game, Team-Based Game, Traitor Game, Variable Player Powers;Thematic Games
2014;2;4;90;12;27093;Deck Bag and Pool Building, Point to Point Movement, Turn Order: Progressive;Strategy Games
2011;1;4;240;14;39421;Card Drafting, Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Grid Movement, Hand Management, Hexagon Grid, Modular Board, Role Playing, Solo / Solitaire Game, Variable Player Powers;Strategy Games, Thematic Games
2018;2;4;90;10;37715;Action Queue, Action Retrieval, Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Point to Point Movement, Race, Variable Player Powers;Strategy Games, Wargames
2002;3;5;150;12;73413;Action Drafting, End Game Bonuses, Follow, Hidden Victory Points, Increase Value of Unchosen Resources, Turn Order: Progressive, Variable Phase Order;Strategy Games
2015;2;5;240;14;16413;Card Drafting, Delayed Purchase, Income, Market, Modular Board, Network and Route Building, Simultaneous Action Selection;Strategy Games
2013;1;7;210;12;35475;Automatic Resource Growth, Increase Value of Unchosen Resources, Solo / Solitaire Game, Tile Placement, Turn Order: Claim Action, Worker Placement;Strategy Games
2007;1;5;150;12;75679;Advantage Token, Automatic Resource Growth, Card Drafting, Enclosure, Hand Management, Increase Value of Unchosen Resources, Solo / Solitaire Game, Turn Order: Claim Action, Variable Player Powers, Worker Placement;Strategy Games
2015;2;4;90;14;40664;Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Memory, Simultaneous Action Selection;Strategy Games
2016;1;5;180;14;39007;Area Movement, Cooperative Game, Dice Rolling, Hand Management, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Team-Based Game, Traitor Game, Variable Player Powers;Thematic Games
2017;1;4;1000;14;30488;Cooperative Game, Grid Movement, Hand Management, Map Addition, Modular Board, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling, Variable Player Powers;Thematic Games
2017;2;4;60;14;24373;Cooperative Game, Hand Management, Legacy Game, Pick-up and Deliver, Point to Point Movement, Set Collection, Trading, Variable Player Powers;Strategy Games, Thematic Games
2018;1;4;80;13;29225;Card Drafting, End Game Bonuses, Hand Management, Income, Solo / Solitaire Game, Variable Set-up, Worker Placement;Family Games, Strategy Games
2019;1;4;120;12;12042;Contracts, End Game Bonuses, Events, Hand Management, Income, Movement Points, Narrative Choice / Paragraph, Point to Point Movement, Race, Rondel, Scenario / Mission / Campaign Game, Set Collection, Solo / Solitaire Game, Stock Holding, Sudden Death Ending, Tech Trees / Tech Tracks, Track Movement, Variable Set-up;Strategy Games
2015;1;4;180;17;10047;Cooperative Game, Dice Rolling, Grid Movement, Role Playing, Solo / Solitaire Game, Storytelling;Thematic Games
2004;2;6;120;12;66489;Auction/Bidding, Auction: Turn Order Until Pass, Catch the Leader, Income, Market, Network and Route Building, Turn Order: Stat-Based;Strategy Games
2012;2;4;90;13;35520;Bias, End Game Bonuses, Turn Order: Claim Action, Worker Placement;Strategy Games
2019;2;5;20;10;31356;Communication Limits, Cooperative Game, Hand Management, Scenario / Mission / Campaign Game, Trick-taking;Family Games, Strategy Games
2016;2;4;120;14;20196;Action Queue, Bias, Card Drafting, Cooperative Game, Dice Rolling, Modular Board, Programmed Movement, Role Playing, Variable Player Powers;Strategy Games, Thematic Games
2018;1;4;150;12;13474;End Game Bonuses, Hand Management, Income, Network and Route Building, Solo / Solitaire Game, Turn Order: Stat-Based, Worker Placement;Strategy Games
2014;1;5;120;14;35018;Dice Rolling, Die Icon Resolution, Grid Movement, Line of Sight, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Team-Based Game, Variable Player Powers;Thematic Games
2017;1;4;120;12;17634;Commodity Speculation, Contracts, Market, Modular Board, Network and Route Building, Solo / Solitaire Game, Turn Order: Pass Order, Variable Player Powers, Variable Set-up;Strategy Games
2017;1;4;120;15;15513;Dice Rolling, Solo / Solitaire Game, Tug of War, Turn Order: Claim Action, Variable Player Powers, Worker Placement, Worker Placement, Different Worker Types;Strategy Games
2008;1;5;150;12;29701;Automatic Resource Growth, End Game Bonuses, Increase Value of Unchosen Resources, Loans, Ownership, Solo / Solitaire Game, Worker Placement;Strategy Games
2017;1;4;120;12;9087;Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Die Icon Resolution, Hand Management, Resource to Move, Role Playing, Roles with Asymmetric Information, Solo / Solitaire Game, Stat Check Resolution, Turn Order: Role Order, Variable Player Powers;Strategy Games, Thematic Games
2006;2;4;120;12;17423;Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Hand Management;Strategy Games
2017;2;4;45;8;79526;Card Drafting, End Game Bonuses, Pattern Building, Set Collection, Tile Placement, Turn Order: Claim Action;Abstract Games, Family Games
2019;1;4;90;14;16713;Cooperative Game, Deck Construction, Hand Management, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers, Variable Set-up;Customizable Games
2011;2;6;180;14;26710;Area Majority / Influence, Dice Rolling, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers;Strategy Games
2019;2;4;120;13;7209;Card Drafting, Deck Bag and Pool Building, Legacy Game, Once-Per-Game Abilities, Point to Point Movement, Push Your Luck;Thematic Games
2012;2;2;45;14;41315;Action Points, Deck Construction, Hand Management, Secret Unit Deployment, Take That, Variable Player Powers;Customizable Games
2012;1;4;120;14;52934;Action Queue, Cooperative Game, Dice Rolling, Hexagon Grid, Narrative Choice / Paragraph, Solo / Solitaire Game, Tile Placement, Variable Player Powers, Worker Placement;Thematic Games
2015;2;4;100;12;22601;Contracts, Dice Rolling, Income, Point to Point Movement, Resource to Move, Set Collection, Turn Order: Claim Action, Variable Player Powers, Variable Set-up, Worker Placement with Dice Workers;Strategy Games
2015;1;4;150;13;13057;Commodity Speculation, Investment, Set Collection, Solo / Solitaire Game, Worker Placement;Strategy Games
2019;1;4;120;14;8963;Action Drafting, Contracts, End Game Bonuses, Income, Network and Route Building, Solo / Solitaire Game, Turn Order: Stat-Based, Variable Player Powers, Variable Set-up, Worker Placement;Strategy Games
2007;2;4;60;12;56264;Follow, Hand Management, Set Collection, Simultaneous Action Selection, Turn Order: Role Order, Variable Phase Order, Variable Player Powers;Strategy Games
2014;1;2;120;13;12561;Automatic Resource Growth, Highest-Lowest Scoring, Income, Solo / Solitaire Game, Worker Placement;Strategy Games
2010;2;7;30;10;112410;Card Drafting, Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers;Family Games, Strategy Games
2018;1;4;120;14;18082;Area Movement, Rondel, Set Collection, Solo / Solitaire Game, Tile Placement, Track Movement, Variable Set-up, Worker Placement, Worker Placement with Dice Workers;Strategy Games
2016;2;4;60;12;36265;Card Drafting, Deck Bag and Pool Building, Drafting, End Game Bonuses, Pick-up and Deliver, Player Elimination, Point to Point Movement, Push Your Luck, Variable Set-up;Family Games, Strategy Games
2018;2;4;45;10;34053;Catch the Leader, Deck Bag and Pool Building, Dice Rolling, Push Your Luck, Variable Set-up;Family Games
1876;2;4;30;8;10561;Flicking, Team-Based Game;Family Games
2014;2;4;80;13;41676;Auction/Bidding, Constrained Bidding, End Game Bonuses, Hidden Victory Points, Mancala, Modular Board, Set Collection, Square Grid, Turn Order: Auction, Variable Player Powers, Variable Set-up, Victory Points as a Resource;Strategy Games
2010;2;6;240;14;19494;Area Majority / Influence, Card Drafting, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Take That, Tile Placement, Variable Player Powers, Worker Placement;Strategy Games
2020;1;4;150;14;10719;Area Majority / Influence, Contracts, Delayed Purchase, Drafting, End Game Bonuses, Hand Management, Hexagon Grid, Income, Movement Points, Moving Multiple Units, Point to Point Movement, Set Collection, Solo / Solitaire Game, Tech Trees / Tech Tracks, Tile Placement, Variable Phase Order, Worker Placement;Strategy Games
2017;1;4;120;12;10212;Area Majority / Influence, Card Drafting, Hand Management, Solo / Solitaire Game, Tile Placement;Strategy Games
2016;1;4;60;14;16345;Card Drafting, Cooperative Game, Deck Bag and Pool Building, Delayed Purchase, Hand Management, Solo / Solitaire Game, Variable Phase Order, Variable Player Powers, Variable Set-up;Strategy Games
2012;2;5;120;12;56283;Card Drafting, Contracts, Hidden Roles, Increase Value of Unchosen Resources, Ownership, Set Collection, Take That, Turn Order: Claim Action, Worker Placement;Strategy Games
2019;1;4;120;12;15192;Card Drafting, Market, Solo / Solitaire Game, Worker Placement, Worker Placement, Different Worker Types;Strategy Games
2012;2;6;120;12;22067;Auction/Bidding, Auction: Fixed Placement, Constrained Bidding, End Game Bonuses, Hexagon Grid, Memory, Modular Board, Multiple-Lot Auction, Network and Route Building, Ownership, Set Collection, Tile Placement, Turn Order: Auction, Worker Placement, Worker Placement, Different Worker Types;Strategy Games
2016;1;4;120;12;13144;Card Drafting, Enclosure, Hand Management, Worker Placement, Advantage Token, Automatic Resource Growth, Increase Value of Unchosen Resources, Solo / Solitaire Game, Team-Based Game, Turn Order: Claim Action, Variable Player Powers;Strategy Games
2019;1;5;120;13;8538;Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Increase Value of Unchosen Resources, Score-and-Reset Game, Simulation, Solo / Solitaire Game;Strategy Games
2019;1;4;120;14;12918;Area Movement, Campaign / Battle Card Driven, Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Hand Management, Map Addition, Modular Board, Narrative Choice / Paragraph, Push Your Luck, Role Playing, Solo / Solitaire Game, Storytelling, Variable Player Powers;Thematic Games
2005;2;5;150;12;26714;Ownership, Turn Order: Claim Action, Turn Order: Pass Order, Variable Set-up, Worker Placement;Strategy Games
2018;1;5;80;12;24145;Drafting, Solo / Solitaire Game, Variable Player Powers, Worker Placement;Strategy Games
1995;2;5;120;12;22629;Action Drafting, Area Majority / Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory, Simultaneous Action Selection, Turn Order: Progressive, Turn Order: Stat-Based;Strategy Games
2005;3;6;240;14;20048;Action Points, Area-Impulse, Dice Rolling, Follow, Hexagon Grid, Increase Value of Unchosen Resources, Modular Board, Player Elimination, Tile Placement, Trading, Variable Phase Order, Variable Player Powers, Voting;Strategy Games, Thematic Games
2008;3;6;180;14;35758;Area Movement, Dice Rolling, Hand Management, Hidden Roles, Once-Per-Game Abilities, Role Playing, Semi-Cooperative Game, Team-Based Game, Traitor Game, Variable Player Powers, Variable Set-up, Voting;Thematic Games
2013;1;8;240;14;43238;Action Points, Cooperative Game, Dice Rolling, Point to Point Movement, Role Playing, Solo / Solitaire Game, Stat Check Resolution, Variable Player Powers;Thematic Games
2010;2;4;90;12;21299;Area Majority / Influence, Dice Rolling, End Game Bonuses, Hidden Victory Points, Lose a Turn, Ownership, Set Collection, Solo / Solitaire Game, Turn Order: Progressive, Worker Placement, Worker Placement with Dice Workers, Worker Placement, Different Worker Types;Strategy Games
2018;3;5;120;14;20763;Action Drafting, Alliances, Area Majority / Influence, Area Movement, Auction: Sealed Bid, Betting and Bluffing, Drafting, End Game Bonuses, Follow, Force Commitment, Negotiation, Set Collection, Simultaneous Action Selection, Take That, Variable Phase Order, Variable Player Powers, Variable Set-up;Strategy Games
2009;2;4;30;13;43570;Deck Bag and Pool Building, Hand Management;Strategy Games
2015;2;4;150;12;13057;Action Queue, Area Majority / Influence, Card Drafting, Deck Bag and Pool Building, Hand Management, Investment, Simultaneous Action Selection, Stock Holding, Variable Player Powers, Worker Placement;Strategy Games
2015;2;4;120;12;15014;Action Drafting, Contracts, Dice Rolling, End Game Bonuses, Hand Management, Once-Per-Game Abilities, Set Collection, Variable Player Powers, Variable Set-up;Strategy Games
2019;1;5;120;14;15716;Cooperative Game, Deck Bag and Pool Building, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers;Thematic Games
2014;2;2;30;8;68860;Card Drafting, Grid Coverage, Income, Square Grid, Tile Placement, Time Track, Victory Points as a Resource;Abstract Games, Family Games
2015;2;4;80;12;21145;Dice Rolling, Hand Management, Set Collection, Worker Placement, Worker Placement, Different Worker Types;Strategy Games
2013;2;4;120;12;14737;End Game Bonuses, Worker Placement;Strategy Games
1997;2;4;90;12;28348;Area Majority / Influence, Area Movement, Connections, Hand Management, Highest-Lowest Scoring, Income, Pieces as Map, Set Collection, Square Grid, Tile Placement;Strategy Games
2015;2;8;15;14;107682;Communication Limits, Memory, Push Your Luck, Team-Based Game;Party Games
2014;2;5;45;13;32192;Action Retrieval, Contracts, Dice Rolling, Follow, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers;Strategy Games
2011;2;4;120;12;17181;Area Movement, Card Drafting, Hand Management, Mancala, Rondel, Set Collection;Strategy Games
2016;2;4;120;12;11494;Card Drafting, Dice Rolling, Variable Player Powers, Worker Placement, Worker Placement with Dice Workers;Strategy Games
1982;1;8;120;13;32905;Cooperative Game, Solo / Solitaire Game, Storytelling;Thematic Games
2008;2;4;30;13;101839;Deck Bag and Pool Building, Delayed Purchase, Hand Management, Take That, Variable Set-up;Strategy Games
2008;2;4;45;8;155312;Action Points, Cooperative Game, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers;Family Games, Strategy Games
2016;2;5;45;8;14808;Action Points, Cooperative Game, Hand Management, Point to Point Movement, Set Collection, Solo / Solitaire Game, Trading, Variable Player Powers;Strategy Games
2015;2;4;90;10;19380;Dice Rolling, Set Collection, Variable Player Powers, Worker Placement;Strategy Games
2018;3;8;45;12;18890;Communication Limits, Targeted Clues, Team-Based Game;Party Games
2012;2;5;120;13;18747;Action Points, Area Majority / Influence, Area Movement, Card Drafting, Card Play Conflict Resolution, Hand Management;Strategy Games
2016;2;4;90;14;12088;Contracts, End Game Bonuses, Grid Movement, Modular Board, Network and Route Building, Set Collection, Variable Set-up, Worker Placement, Worker Placement, Different Worker Types;Strategy Games
2017;2;4;90;12;13715;Card Drafting, Deck Bag and Pool Building, Modular Board, Pick-up and Deliver, Player Elimination, Point to Point Movement, Push Your Luck;Strategy Games
2015;2;4;180;14;11900;Area Majority / Influence, Area Movement, Card Play Conflict Resolution, Dice Rolling, Hand Management, Modular Board, Order Counters, Variable Player Powers;Strategy Games
2016;2;4;90;14;16477;Action Drafting, Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Card Drafting, Hand Management, King of the Hill, Map Addition, Modular Board, Variable Phase Order, Variable Set-up;Strategy Games
2019;1;4;90;8;12360;Card Drafting, Drafting, Grid Coverage, Hidden Victory Points, Income, Pattern Building, Set Collection, Solo / Solitaire Game, Square Grid, Tile Placement, Turn Order: Stat-Based;Family Games, Strategy Games
2012;2;2;45;14;38018;Action Queue, Critical Hits and Failures, Dice Rolling, Movement Template, Player Elimination, Simulation, Simultaneous Action Selection, Variable Player Powers;Customizable Games, Wargames
2014;2;4;120;13;23577;Action Drafting, Card Drafting, Constrained Bidding, End Game Bonuses, Events, Hand Management, Turn Order: Progressive;Strategy Games
2008;2;4;90;10;47743;Contracts, Dice Rolling, End Game Bonuses, Set Collection, Turn Order: Progressive, Worker Placement;Family Games, Strategy Games
2014;1;5;60;17;16119;Card Drafting, Cooperative Game, Deck Bag and Pool Building, Events, Hidden Roles, Player Elimination, Solo / Solitaire Game, Team-Based Game, Variable Player Powers;Thematic Games
2016;1;4;135;14;7957;Area Majority / Influence, Variable Phase Order, Worker Placement;Strategy Games
2018;2;5;90;13;8879;Area Majority / Influence, Card Drafting, Point to Point Movement, Set Collection, Tech Trees / Tech Tracks;Strategy Games
2014;2;2;20;12;52271;Card Drafting, Deck Bag and Pool Building, Delayed Purchase, Hand Management, Take That;Strategy Games
2012;1;5;120;14;35659;Action Points, Cooperative Game, Dice Rolling, Grid Movement, Hand Management, Line of Sight, Modular Board, Movement Points, Multiple Maps, Scenario / Mission / Campaign Game, Team-Based Game, Variable Player Powers;Thematic Games
2019;1;100;45;10;19320;Bingo, Grid Coverage, Line Drawing, Paper-and-Pencil, Solo / Solitaire Game;Family Games
2019;2;4;60;12;13790;Card Drafting, Hand Management, Race, Take That, Turn Order: Pass Order, Variable Player Powers;Strategy Games
2002;1;6;120;13;9636;Auction/Bidding, Catch the Leader, Connections, Dice Rolling, Loans, Network and Route Building, Pick-up and Deliver, Player Elimination, Scenario / Mission / Campaign Game, Selection Order Bid, Tile Placement, Turn Order: Auction, Victory Points as a Resource;Strategy Games
2014;2;5;60;10;30353;Contracts, Dice Rolling, Grid Movement, Modular Board, Network and Route Building, Pick-up and Deliver, Race, Variable Set-up, Worker Placement;Strategy Games
2005;2;5;60;8;83075;Card Drafting, Connections, End Game Bonuses, Hand Management, Network and Route Building, Push Your Luck, Set Collection;Family Games
2014;2;5;120;13;53328;Action Points, Area Movement, Cooperative Game, Dice Rolling, Hand Management, Narrative Choice / Paragraph, Push Your Luck, Semi-Cooperative Game, Storytelling, Trading, Traitor Game, Variable Player Powers, Voting;Thematic Games
2012;2;2;60;12;22524;End Game Bonuses, Modular Board, Set Collection, Turn Order: Progressive, Worker Placement;Strategy Games
2004;2;4;120;12;12793;Action Points, Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management;Thematic Games
2009;3;4;120;13;14782;Action Points, Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Role Playing, Take That, Variable Player Powers;Strategy Games, Thematic Games
2018;1;100;25;10;27392;Bingo, Paper-and-Pencil, Pattern Building, Solo / Solitaire Game;Family Games
2018;1;4;30;8;21684;Dice Rolling, Drafting, Highest-Lowest Scoring, Paper-and-Pencil, Re-rolling and Locking, Solo / Solitaire Game;Family Games
2015;2;4;180;14;9928;Action Points, Action Queue, Catch the Leader, Dice Rolling, Simultaneous Action Selection, Tile Placement, Turn Order: Stat-Based, Worker Placement;Strategy Games
2011;1;2;60;13;32244;Cooperative Game, Deck Construction, Events, Hand Management, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Set-up;Customizable Games
2005;2;6;120;10;11902;Action Points, Auction/Bidding, Card Drafting, Connections, End Game Bonuses, Hexagon Grid, Income, Network and Route Building, Ownership, Pick-up and Deliver, Tile Placement, Turn Order: Auction;Strategy Games
2012;5;10;30;13;38202;Hidden Roles, Roles with Asymmetric Information, Simultaneous Action Selection, Team-Based Game, Traitor Game, Variable Player Powers, Voting;Party Games
2017;1;4;60;14;7541;Card Drafting, Cooperative Game, Deck Bag and Pool Building, Hand Management, Variable Phase Order, Variable Player Powers;Strategy Games
2017;1;4;120;8;19263;Action Points, Dice Rolling, Income, Set Collection, Tile Placement, Worker Placement;Strategy Games
2019;1;5;60;10;14285;Card Drafting, Contracts, Modular Board, Set Collection, Solo / Solitaire Game, Track Movement, Turn Order: Claim Action, Worker Placement;Family Games
2011;3;6;240;14;38623;Area Majority / Influence, Area Movement, Auction/Bidding, Auction: Sealed Bid, Card Play Conflict Resolution, Hand Management, Order Counters, Player Elimination, Prisoner's Dilemma, Simultaneous Action Selection, Variable Player Powers;Strategy Games
2014;1;4;90;13;28039;Card Drafting, End Game Bonuses, I Cut You Choose, Increase Value of Unchosen Resources, Pattern Building, Set Collection, Tile Placement, Turn Order: Progressive;Strategy Games
2020;2;6;200;14;5256;Alliances, Area Majority / Influence, Area Movement, Area-Impulse, Critical Hits and Failures, Dice Rolling, Grid Movement, Income, Kill Steal, Modular Board, Passed Action Token, Player Elimination, Tile Placement, Variable Player Powers;Strategy Games
2009;2;2;30;12;54358;Card Drafting, Hand Management, Market, Score-and-Reset Game, Set Collection;Family Games
2009;2;5;90;12;10985;Action Points, Area Majority / Influence, End Game Bonuses, Network and Route Building, Ownership, Tech Trees / Tech Tracks;Strategy Games
2004;2;8;60;8;33786;Area Majority / Influence, Campaign / Battle Card Driven, Command Cards, Dice Rolling, Die Icon Resolution, Grid Movement, Hand Management, Hexagon Grid, Line of Sight, Modular Board, Movement Points, Scenario / Mission / Campaign Game, Simulation;Wargames
2011;1;4;180;13;12289;Increase Value of Unchosen Resources, Modular Board, Network and Route Building, Worker Placement, Worker Placement, Different Worker Types;Strategy Games
2018;1;4;90;14;23966;Cooperative Game, Scenario / Mission / Campaign Game, Storytelling;Thematic Games
2006;2;2;60;12;10486;Campaign / Battle Card Driven, Command Cards, Dice Rolling, Hand Management, Hexagon Grid, Modular Board, Scenario / Mission / Campaign Game, Simulation;Wargames
2008;3;5;120;12;33832;Alliances, Card Play Conflict Resolution, Hand Management, Interrupts, Negotiation, Prisoner's Dilemma, Race, Simultaneous Action Selection, Take That, Trading, Variable Player Powers;Strategy Games, Thematic Games
2015;2;4;90;12;35093;Cooperative Game, Dice Rolling, Move Through Deck, Narrative Choice / Paragraph, Storytelling, Variable Player Powers;Thematic Games
2017;1;4;45;14;40258;Contracts, Dice Rolling, Drafting, Pattern Building, Set Collection, Solo / Solitaire Game;Abstract Games, Family Games
2014;3;5;180;12;11630;Action Points, Dice Rolling, Grid Movement, Map Addition, Modular Board, Pick-up and Deliver, Roll / Spin and Move, Tile Placement, Variable Player Powers;Strategy Games, Thematic Games
2012;1;4;90;8;24714;Auction: Dutch, Card Drafting, Catch the Leader, Hexagon Grid, Set Collection, Tile Placement;Strategy Games
2017;1;6;120;18;16050;Action Points, Cooperative Game, Dice Rolling, Grid Movement, Push Your Luck, Role Playing, Simulation, Solo / Solitaire Game, Storytelling, Variable Player Powers, Worker Placement;Thematic Games
2019;2;4;45;8;12321;Drafting, Pattern Building, Set Collection;Abstract Games, Family Games
2013;1;5;200;14;12085;Card Drafting, Events, Turn Order: Pass Order, Variable Player Powers, Worker Placement;Strategy Games
2018;1;5;180;16;15633;Cooperative Game, Solo / Solitaire Game, Storytelling;Thematic Games
2017;2;4;120;13;15697;Card Drafting, Dice Rolling, Narrative Choice / Paragraph, Network and Route Building, Scenario / Mission / Campaign Game, Set Collection, Storytelling, Variable Player Powers, Worker Placement;Thematic Games
2007;2;3;60;8;17300;Card Drafting, Hand Management, Network and Route Building, Set Collection;Family Games
2011;2;4;90;12;26348;Action Drafting, Area Majority / Influence, Contracts, Set Collection, Turn Order: Claim Action, Worker Placement, Worker Placement, Different Worker Types;Strategy Games
1999;2;2;480;14;8630;Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement;Wargames
2006;2;2;180;12;8073;Campaign / Battle Card Driven, Grid Movement, Hexagon Grid, Simulation, Variable Phase Order;Wargames
1993;2;2;20;13;35625;Deck Construction, Hand Management, Interrupts, Take That;Customizable Games
2016;2;8;60;14;21870;Grid Movement, Hidden Movement, Line Drawing, Real-Time, Role Playing, Secret Unit Deployment, Simulation, Team-Based Game;Party Games, Thematic Games
2017;2;4;75;12;11403;Connections, Dice Rolling, Network and Route Building, Race, Tile Placement, Worker Placement;Strategy Games
2017;2;99;30;11;27538;Communication Limits, Cooperative Game, Push Your Luck, Team-Based Game;Family Games
